price,date,lag_1,lag_2,lag_3,day_of_week,month,is_weekend
19880,2022-04-22 12:18:55,20000.0,19620.0,20380.0,4,4,0
19800,2022-04-23 11:58:41,19880.0,20000.0,19620.0,5,4,1
19760,2022-04-23 16:00:43,19800.0,19880.0,20000.0,5,4,1
19520,2022-04-26 18:16:34,19760.0,19800.0,19880.0,1,4,0
20660,2022-04-28 00:12:30,19520.0,19760.0,19800.0,3,4,0
19210,2022-05-01 08:10:36,20660.0,19520.0,19760.0,6,5,1
20660,2022-05-02 06:49:41,19210.0,20660.0,19520.0,0,5,0
20640,2022-05-05 22:44:39,20660.0,19210.0,20660.0,3,5,0
20600,2022-05-06 14:01:07,20640.0,20660.0,19210.0,4,5,0
20360,2022-05-07 05:25:45,20600.0,20640.0,20660.0,5,5,1
20660,2022-05-11 15:39:22,20360.0,20600.0,20640.0,2,5,0
21160,2022-05-17 18:52:28,20660.0,20360.0,20600.0,1,5,0
20920,2022-06-03 19:44:26,21160.0,20660.0,20360.0,4,6,0
20320,2022-06-18 18:17:03,20920.0,21160.0,20660.0,5,6,1
20370,2022-06-20 03:20:55,20320.0,20920.0,21160.0,0,6,0
20920,2022-06-24 20:10:37,20370.0,20320.0,20920.0,4,6,0
21270,2022-07-01 02:05:56,20920.0,20370.0,20320.0,4,7,0
21060,2022-07-18 02:24:52,21270.0,20920.0,20370.0,0,7,0
20220,2022-07-18 14:26:17,21060.0,21270.0,20920.0,0,7,0
20910,2022-07-20 00:41:04,20220.0,21060.0,21270.0,2,7,0
20680,2022-07-25 22:13:57,20910.0,20220.0,21060.0,0,7,0
21000,2022-08-02 06:23:07,20680.0,20910.0,20220.0,1,8,0
19260,2022-08-04 03:58:33,21000.0,20680.0,20910.0,3,8,0
20960,2022-08-08 15:30:21,19260.0,21000.0,20680.0,0,8,0
20920,2022-08-11 00:18:05,20960.0,19260.0,21000.0,3,8,0
21000,2022-08-18 21:59:57,20920.0,20960.0,19260.0,3,8,0
22000,2022-08-19 19:20:51,21000.0,20920.0,20960.0,4,8,0
21480,2022-08-24 19:40:04,22000.0,21000.0,20920.0,2,8,0
21000,2022-08-25 18:37:13,21480.0,22000.0,21000.0,3,8,0
21720,2022-08-26 18:14:35,21000.0,21480.0,22000.0,4,8,0
21610,2022-08-31 18:13:27,21720.0,21000.0,21480.0,2,8,0
21480,2022-09-01 21:21:52,21610.0,21720.0,21000.0,3,9,0
21610,2022-09-02 18:33:40,21480.0,21610.0,21720.0,4,9,0
21480,2022-09-05 21:13:49,21610.0,21480.0,21610.0,0,9,0
21240,2022-09-15 20:47:58,21480.0,21610.0,21480.0,3,9,0
21000,2022-09-24 00:21:55,21240.0,21480.0,21610.0,5,9,1
20960,2022-09-30 09:39:31,21000.0,21240.0,21480.0,4,9,0
21470,2022-10-01 19:58:13,20960.0,21000.0,21240.0,5,10,1
21350,2022-10-06 20:21:11,21470.0,20960.0,21000.0,3,10,0
20250,2022-10-08 18:09:45,21350.0,21470.0,20960.0,5,10,1
21240,2022-10-10 21:25:53,20250.0,21350.0,21470.0,0,10,0
21290,2022-10-14 21:49:26,21240.0,20250.0,21350.0,4,10,0
21290,2022-10-17 08:05:57,21290.0,21240.0,20250.0,0,10,0
21290,2022-10-17 08:05:57,21290.0,21290.0,21240.0,0,10,0
21880,2022-10-27 07:24:47,21290.0,21290.0,21290.0,3,10,0
21880,2022-10-27 07:24:47,21880.0,21290.0,21290.0,3,10,0
21880,2022-11-03 22:24:57,21880.0,21880.0,21290.0,3,11,0
